hospital,lat,long,Strategic Clinical Network,Stroke Team,Local
RM70AG,51.5686204781614,0.179031,London SCN,"Queen's Hospital, Romford",0
E11BB,51.519024600693,-0.058075031814056,London SCN,The Royal London Hospital,0
SW66SX,51.4737150883794,-0.212721758225151,London SCN,"Charing Cross Hospital, London",0
SE59RW,51.4695040169144,-0.093251532341465,London SCN,"King's College Hospital, London",0
BR68ND,51.366243,0.059146,London SCN,Princess Royal University Hospital; Orpington,0
HA13UJ,51.575407,-0.322037,London SCN,"Northwick Park Hospital, Harrow",0
SW170QT,51.426726066946,-0.175745891276585,London SCN,"St George's Hospital, London",0
NW12BU,51.5248641467887,-0.13701250878242,London SCN,"University College London Hospital, London",0
DE223NE,52.911193,-1.514514,East Midlands SCN,Royal Derby Hospital,0
NN15BD,52.236054,-0.883844,East Midlands SCN,Northampton General Hospital,0
NG51PB,52.990993,-1.159893,East Midlands SCN,Nottingham City Hospital,0
NG174JL,53.13434,-1.232284,East Midlands SCN,"Kings Mill Hospital, Mansfield",0
LN25QY,53.2335745059999,-0.519650130607313,East Midlands SCN,Lincoln County Hospital,0
PE219QS,52.991125,-0.009968,East Midlands SCN,"Pilgrim Hospital, Boston",0
LE15WW,52.6278153900129,-1.13480281992317,East Midlands SCN,Leicester Royal Infirmary,0
SS165NL,51.5576848059455,0.450557256628072,East of England SCN,Basildon University Hospital,0
CB20QQ,52.173741,0.139114,East of England SCN,"Addenbrooke's Hospital, Cambridge",0
CO45JL,51.9101718568211,0.899182886270035,East of England SCN,Colchester General Hospital,0
SG14AB,51.924611,-0.212726,East of England SCN,"Lister Hospital, Stevenage",0
IP45PD,52.05684765276,1.19791467368234,East of England SCN,Ipswich Hospital,0
NR316LA,52.5616708429901,1.71797992963019,East of England SCN,"James Paget Hospitals, Great Yarmouth",0
LU40DZ,51.895405,-0.476044,East of England SCN,Luton and Dunstable Hospital,0
CM17ET,51.7745841696332,0.465993,East of England SCN,"Broomfield Hospital, Chelmsford",0
NR47UY,52.6180846626171,1.22106684751945,East of England SCN,Norfolk and Norwich University Hospital,0
PE39GZ,52.583921,-0.279386,East of England SCN,Peterborough City Hospital,0
PE304ET,52.7567799567537,0.446999307318277,East of England SCN,"Queen Elizabeth Hospital, Kings Lynn",0
SS00RY,51.5538343385818,0.688617,East of England SCN,Southend Hospital,0
WD180HB,51.648921,-0.404187,East of England SCN,Watford General Hospital,0
IP332QZ,52.231661094221,0.709175571219294,East of England SCN,"West Suffolk Hospital, Bury St Edmonds",0
DY12HQ,52.502944,-2.118518,West Midlands SCN,"Russells Hall Hospital, Dudley",0
B95SS,52.48021687,-1.829965589,West Midlands SCN,Birmingham Heartlands Hospital,0
WV100QP,52.599722,-2.095555,West Midlands SCN,"New Cross Hospital, Wolverhampton",0
B714HJ,52.52735537,-1.987884444,West Midlands SCN,"Sandwell District Hospital, West Bromwich",0
TF16TF,52.712107,-2.511491,West Midlands SCN,"Princess Royal Hospital, Telford",0
B152TH,52.4532708,-1.938476,West Midlands SCN,"Queen Elizabeth Hospital, Birmingham",0
CV22DX,52.421211,-1.438403,West Midlands SCN,"University Hospital, Coventry",0
ST46QG,53.0040195762706,-2.21487233596217,West Midlands SCN,Royal Stoke University Hospital,0
WR51DD,52.1912009117257,-2.18114349682672,West Midlands SCN,"Worcestershire Royal Hospital, Worcester",0
HR12ER,52.0569407344173,-2.705709,West Midlands SCN,Hereford County Hospital,0
L97AL,53.466323,-2.931104,Cheshire and Mersey SCN,"University Hospital Aintree, Liverpool",0
CH21UL,53.2088,-2.897884,Cheshire and Mersey SCN,"Countess of Chester Hospital, Chester",0
L78XP,53.4095051005197,-2.96480875690615,Cheshire and Mersey SCN,Royal Liverpool University Hospital,0
PR86PN,53.6336637202891,-2.978159,Cheshire and Mersey SCN,Southport and Formby District General,0
L355DR,53.420469,-2.784954,Cheshire and Mersey SCN,"Whiston Hospital, Prescot",0
